maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
BR,868095G,,THALASSA,FNFP,227297000,BULK,74.5,2808,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - VHF - UHF - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE MINI C - SATELLITE FLEET - SSAS INMARSAT - RADAR 9 PAN (BANDE X) - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,08/02/1996,
NI,907737W,,VAVE A,FHIM,228503000,PLEASURE CRAFT,16,48,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X),,INACTIVE,05/06/1996,13/01/2016
BR,A11642E,,ELZEVIR,FT7369,227414880,PLEASURE CRAFT,9.1,,UMS,VHF ASN - AIS - VHF PORTATIVE,,ACTIVE,23/04/1997,
GV,804686J,,BARA AR VRO,FQBA,228935000,FISHING,23.5,110.35,TX,VHF - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,16/01/1997,
MX,905622X,,COTES DE LA MANCHE,FQBE,227091000,FISHING,24.9,144.36,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,13/03/1997,
SN,915941N,,VB POULIGUEN,FT3888,227004660,BULK,26.63,198.23,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - RADAR 9 PAN (BANDE X),,ACTIVE,05/11/1996,
LO,888442Y,,PHALENE,FHLG,228313000,FISHING,14,35.05,TX,VHF - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,02/11/1996,
AC,844275R,,OCEANIS,FHLH,228385000,FISHING,21,67.9,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,18/11/1996,
LO,886670X,,ANNA MAMM MARI,FOHD,228393000,FISHING,17.25,61.51,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,10/12/1996,
SN,922062S,,GUERANDE,FT4669,227002960,BULK,26.5,248,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - RADAR 9 PAN (BANDE X),,ACTIVE,16/01/1997,
