maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
TL            ;483661U             ;           ;MAZAL TOV                                             ;FT7129   ;          ;PLEASURE CRAFT       ;6      ;4        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;06/04/1984         ;31/12/1995
ST            ;623862L             ;           ;NEPTUNE                                               ;FT7074   ;          ;PLEASURE CRAFT       ;8      ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;03/04/1984         ;26/10/2011
MA            ;629296T             ;           ;LAURIANE                                              ;FT7130   ;227053730 ;PLEASURE CRAFT       ;9      ;9        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;06/04/1984         ;
BL            ;464256B             ;           ;ZIGZAG II                                             ;FT7311   ;227240480 ;PLEASURE CRAFT       ;8      ;6        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;06/04/1984         ;
AC            ;372907J             ;           ;JULES IV                                              ;FO9644   ;          ;PLEASURE CRAFT       ;7      ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/03/1978         ;30/01/2009
TL            ;698792G             ;           ;NOA V                                                 ;FI3772   ;          ;PLEASURE CRAFT       ;       ;20       ;UMS          ;VHF - DIVERS                                                                                                                                                                                                                                                                            ;              ;INACTIVE             ;19/01/1989         ;19/11/1992
BA            ;194873U             ;           ;NOA 4                                                 ;FT5587   ;          ;PLEASURE CRAFT       ;       ;10       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;19/07/1983         ;31/03/1989
GV            ;365104C             ;           ;REDER AR MOR                                          ;FTUH     ;228171000 ;FISHING              ;16     ;30       ;UMS          ;VHF - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                             ;              ;INACTIVE             ;01/11/1976         ;31/07/1996
AJ            ;378227S             ;           ;BLUE SIRIUS                                           ;FO8287   ;227316500 ;PLEASURE CRAFT       ;15     ;51       ;UMS          ;VHF - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;01/11/1976         ;
MA            ;743101U             ;           ;MEGAHERTZ                                             ;FI7085   ;          ;PLEASURE CRAFT       ;8      ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;21/07/1988         ;03/05/2007
